item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q105550917,NormalRank,Q6581072,true,false,,,,
Q106764569,NormalRank,Q6581072,true,true,false,true,false,false
Q106857717,NormalRank,Q6581072,true,false,,,,
Q107022057,NormalRank,Q6581097,true,false,,,,
Q108093970,NormalRank,Q6581072,true,false,,,,
Q108385139,NormalRank,Q6581072,true,false,,,,
Q109018470,NormalRank,Q6581097,true,false,,,,
Q110251228,NormalRank,Q6581072,true,false,,,,
Q112180579,NormalRank,Q6581072,true,true,false,true,false,false
Q112180599,NormalRank,Q6581072,true,true,false,true,false,false
Q113579024,NormalRank,Q6581097,true,false,,,,
Q113946231,,,,false,,,,
Q113946232,,,,false,,,,
Q113946233,,,,false,,,,
Q113946234,,,,false,,,,
Q113946235,,,,false,,,,
Q113946236,,,,false,,,,
Q113946291,,,,false,,,,
Q113946294,NormalRank,Q6581097,true,false,,,,
Q113946296,,,,false,,,,
Q114005610,NormalRank,Q6581097,true,false,,,,
Q114441750,NormalRank,Q6581097,true,false,,,,
Q114441751,NormalRank,Q6581097,true,false,,,,
Q114441752,NormalRank,Q6581097,true,false,,,,
Q114441753,NormalRank,Q6581097,true,false,,,,
Q114441754,NormalRank,Q6581097,true,false,,,,
Q114441755,NormalRank,Q6581097,true,false,,,,
Q114441756,NormalRank,Q6581097,true,false,,,,
Q114441757,NormalRank,Q6581097,true,false,,,,
Q114441758,NormalRank,Q6581097,true,false,,,,
Q114441759,NormalRank,Q6581097,true,false,,,,
Q114441760,NormalRank,Q6581072,true,false,,,,
Q114441761,NormalRank,Q6581097,true,false,,,,
Q114441762,NormalRank,Q6581072,true,false,,,,
Q115769403,NormalRank,Q6581097,true,false,,,,
Q115769871,NormalRank,Q6581072,true,false,,,,
Q115770014,NormalRank,Q6581097,true,false,,,,
Q115770889,NormalRank,Q6581097,true,false,,,,
Q115780859,NormalRank,Q6581097,true,false,,,,
Q115780925,NormalRank,Q6581072,true,false,,,,
Q115797299,NormalRank,Q6581097,true,false,,,,
Q115797315,NormalRank,Q6581097,true,false,,,,
Q1373139,NormalRank,Q6581097,true,false,,,,
Q155385,NormalRank,Q6581097,true,true,false,false,false,true
Q155385,NormalRank,Q6581097,true,true,true,false,false,false
Q155385,NormalRank,Q6581097,true,true,true,true,false,false
Q16325277,NormalRank,Q6581072,true,true,false,false,false,true
Q16545858,NormalRank,Q6581097,true,false,,,,
Q16639103,NormalRank,Q6581097,true,false,,,,
Q1667617,NormalRank,Q6581097,true,false,,,,
Q16682496,NormalRank,Q6581072,true,false,,,,
Q1707420,NormalRank,Q6581097,true,false,,,,
Q1778364,NormalRank,Q6581097,true,false,,,,
Q1778373,NormalRank,Q6581097,true,false,,,,
Q2162878,NormalRank,Q6581097,true,false,,,,
Q2522820,NormalRank,Q6581097,true,true,true,false,false,false
Q269076,NormalRank,Q6581097,true,false,,,,
Q27756289,NormalRank,Q6581097,true,false,,,,
Q305669,NormalRank,Q6581097,true,false,,,,
Q3574865,NormalRank,Q6581097,true,false,,,,
Q392055,NormalRank,Q6581097,true,false,,,,
Q4683147,NormalRank,Q6581072,true,false,,,,
Q5211860,NormalRank,Q6581097,true,false,,,,
Q60965577,NormalRank,Q6581072,true,false,,,,
Q6425687,NormalRank,Q6581097,true,false,,,,
Q6426847,NormalRank,Q6581097,true,false,,,,
Q6428317,NormalRank,Q6581097,true,false,,,,
Q65128871,NormalRank,Q6581097,true,false,,,,
Q65150953,NormalRank,Q6581097,true,false,,,,
Q73364538,NormalRank,Q6581097,true,true,false,false,false,true
Q747770,NormalRank,Q6581097,true,true,false,false,false,true
Q747770,NormalRank,Q6581097,true,true,true,false,false,false
Q75863710,NormalRank,Q6581097,true,false,,,,
Q85793465,NormalRank,Q6581097,true,false,,,,
Q88219141,NormalRank,Q6581097,true,true,false,false,false,true
Q961159,NormalRank,Q6581097,true,true,false,false,false,true
Q961159,NormalRank,Q6581097,true,true,true,true,false,false
Q97368687,NormalRank,Q6581097,true,false,,,,
Q99293088,NormalRank,Q6581097,true,false,,,,
Q4414,NormalRank,Q6581097,true,true,false,false,false,true
Q4414,NormalRank,Q6581097,true,true,true,false,false,false
Q57850,NormalRank,Q6581097,true,false,,,,
Q57878,NormalRank,Q6581097,true,false,,,,
