item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q105550917,Essozimna Marguerite Gnakade,,,,,,false,,,,
Q106764569,Mawougno Aziablé,,,,,,false,,,,
Q106857717,Lidi Kedjaka Gbessi Kama,,,,,,false,,,,
Q107022057,Bolidja Tiem,,,,,,false,,,,
Q108093970,Rose Kayi Mivedor,NormalRank,Q945,Togo,true,false,false,,,,
Q108385139,Sandra Ablamba Johnson,,,,,,false,,,,
Q109018470,Christian Eninam Trimua,,,,,,false,,,,
Q110251228,Zouréhatou Kassah-Traoré,,,,,,false,,,,
Q112180579,Adjovi Lonlongno Apedo-Anakoma,,,,,,false,,,,
Q112180599,Mazamesso Assih,NormalRank,Q3792,Lomé,true,true,true,false,true,false,false
Q113579024,Payadowa Boukpessi,NormalRank,Q4831148,Ayengre,true,true,true,false,false,false,true
Q113946231,Abdoul-Hamid Segoun Tidjani Dourodjaye,,,,,,false,,,,
Q113946232,Adji Otèth Ayassor,,,,,,false,,,,
Q113946233,Ayawovi Demba Tignokpa,,,,,,false,,,,
Q113946234,Débaba Bale,,,,,,false,,,,
Q113946235,Kossi Assimaidou,,,,,,false,,,,
Q113946236,Tankpadja Lalle,,,,,,false,,,,
Q113946291,Biossey Tozoun,,,,,,false,,,,
Q113946294,Katari Foli-Bazi,,,,,,false,,,,
Q113946296,Seye Memene,,,,,,false,,,,
Q114005610,Kanka-Malik Natchaba,,,,,,false,,,,
Q114441750,Akodah Ayewouadan,,,,,,false,,,,
Q114441751,Antoine Lekpa Gbegbeni,,,,,,false,,,,
Q114441752,Bouraïma Kanfitine Tchede-Issa,,,,,,false,,,,
Q114441753,Essomanam Edjeba,,,,,,false,,,,
Q114441754,Ihou Wateba,,,,,,false,,,,
Q114441755,Kodjo Adedze,,,,,,false,,,,
Q114441756,Koffi Tsolenyanu,,,,,,false,,,,
Q114441757,Kokou Eke Odin,,,,,,false,,,,
Q114441758,Komla Dodzi Kokoroko,,,,,,false,,,,
Q114441759,Kossi Lamadokou,,,,,,false,,,,
Q114441760,Mamissilé Akla Agba Assih,,,,,,false,,,,
Q114441761,Moustafa Mijiyawa,,,,,,false,,,,
Q114441762,Myriam Dossou de Souza-D'Almeida,,,,,,false,,,,
Q1373139,Eugene Koffi Adoboli,NormalRank,Q945,Togo,true,false,false,,,,
Q155385,Étienne Gnassingbé Eyadéma,NormalRank,Q1707727,Pya,true,true,true,false,false,false,true
Q16325277,Cina Lawson,NormalRank,Q945,Togo,true,false,true,false,false,false,true
Q16545858,Damehane Yark,,,,,,false,,,,
Q16639103,Gilbert Bawara,,,,,,false,,,,
Q1667617,Léopold Gnininvi,NormalRank,Q1018574,Aného,true,true,true,false,false,false,true
Q16682496,Victoire Dogbé Tomegah,NormalRank,Q3792,Lomé,true,true,false,,,,
Q1707420,Joseph Kokou Koffigoh,,,,,,false,,,,
Q1778364,Kofi Esaw,,,,,,false,,,,
Q1778373,Koffi Sama,NormalRank,Q945,Togo,true,false,true,false,false,false,true
Q2162878,Roland Kpotsra,NormalRank,Q3792,Lomé,true,true,true,false,false,false,true
Q2522820,Fambaré Ouattara Natchaba,NormalRank,Q3095099,Q3095099,true,false,true,false,false,false,true
Q269076,Komlan Mally,,,,,,false,,,,
Q27756289,Robert Dussey,NormalRank,Q3832,Bangui,true,true,true,false,false,false,true
Q305669,Bonfoh Abass,NormalRank,Q11043566,Kabou,true,true,true,false,false,true,true
Q3574865,Zarifou Ayéva,,,,,,false,,,,
Q392055,Agbéyomé Kodjo,NormalRank,Q86244913,Tokpli,true,true,false,,,,
Q4683147,Adjaratou Abdoulaye,,,,,,false,,,,
Q5211860,Dama Dramani,,,,,,false,,,,
Q60965577,Yawa Djigbodi Tségan,,,,,,false,,,,
Q6425687,Koffi Panou,,,,,,false,,,,
Q6426847,Kokou Tozoun,,,,,,false,,,,
Q6428317,Komi Klassou,NormalRank,Q3173182,Notsé,true,true,true,false,false,false,true
Q65150953,Affoh Atcha-Dédji,,,,,,false,,,,
Q73364538,Tchitchao Tchalim,,,,,,false,,,,
Q747770,Yawovi Agboyibo,NormalRank,Q635775,Yoto,true,true,true,false,false,false,false
Q75863710,Tchessa Abi,,,,,,false,,,,
Q85793465,Pius Agbetomey,,,,,,false,,,,
Q88219141,Sani Yaya,NormalRank,Q3195592,Ketao,true,true,true,false,true,false,false
Q961159,Edem Kodjo,NormalRank,Q845097,Sokodé,true,true,true,true,false,false,false
Q97368687,Edem Tengue,,,,,,false,,,,
Q99293088,Elliott Ohin,,,,,,false,,,,
Q4414,Faure Gnassingbé,NormalRank,Q30744809,Afagnan,true,true,true,false,false,false,true
Q57850,Kwesi Ahoomey-Zunu,NormalRank,Q3792,Lomé,true,true,true,false,false,false,true
Q57878,Gilbert Houngbo,,,,,,false,,,,
