positionlabel,position
"Ministre de l'Agriculture, de l'Élevage et du Développement rural",Q114441421
Ministre de l'Environnement et des Ressources forestières,Q114441430
"Ministre de l'Urbanisme, de l'Habitat et de la Réforme foncière",Q114441710
Ministre de la Communication et des Médias,Q114441448
Ministre de la Culture et du Tourisme,Q114441451
"Ministre de la Santé, de l'Hygiène publique et de l'Accès universel aux soins",Q112671903
Ministre de l'Enseignement supérieur et de la Recherche,Q114441534
"Ministre des Enseignements primaire, secondaire, technique et de l'Artisanat",Q114441516
"Ministre du Commerce, de l'Industrie et de la Consommation locale",Q114441474
Ministre du Désenclavement et des Pistes rurales,Q114441559
"Ministre du Développement à la base, de la Jeunesse et de l'Emploi des jeunes",Q114441586
Ministre chargé de l'Inclusion financière et de l'Organisation du secteur informel,Q114441258
Ministre chargé du Développement des territoires,Q114441675
Ministre délégué chargé de l'Accès universel aux soins,Q114441702
Ministre délégué chargé de l'Enseignement technique et de l'Artisanat,Q114441707
Porte-parole du gouvernement,Q114440889
