item,itemLabel,startDate,endDate,sourceDate,psid
Q1707420,Joseph Kokou Koffigoh,1998,2000,,Q1707420-9DDB2FE1-26B4-4E31-9E95-97C93726AD51
Q6425687,Koffi Panou,2000,2002,,Q6425687-FCC9F3C8-778D-40E5-8199-B10D2D27557E
Q2162878,Roland Kpotsra,2002,2003,,Q2162878-828CE604-2CCD-4476-BA8E-7BC4292BBF2F
Q6426847,Kokou Tozoun,2003,2005,,Q6426847-53C001C1-2A33-4635-A671-40219D08B5C4
Q3574865,Zarifou Ayéva,2005,2007,,Q3574865-1DB974E0-A94A-44FE-BB71-1345F6CB189E
Q1667617,Léopold Gnininvi,2007,2008-09-15,,Q1667617-5A59076A-DB4F-44C5-8117-D026EABFE2D8
Q1778364,Kofi Esaw,2008-09-15,2010,,Q1778364-93315D27-263D-46E0-8518-E730052B7EE4
Q99293088,Elliott Ohin,2010,2013-09-17,,Q99293088-ff7c47c1-40fd-2874-2d80-4be73a20b6be
Q27756289,Robert Dussey,2013-09-17,,,Q27756289-20644634-BECB-493B-B485-4E2B5247ADD7
