ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q114870982,Yawovi Madji Agboyibo Cabinet,2006-12-20,11,,,2007-12-12,11,,,,,,,,,Q114870946,Komlan Mally Cabinet
,Q114870946,Komlan Mally Cabinet,2007-12-13,11,,,,,2008-09-14,11,Q114870982,Yawovi Madji Agboyibo Cabinet,,,Q114870982,Yawovi Madji Agboyibo Cabinet,Q114870834,First Gilbert Fossoun Houngbo Cabinet
,Q114870834,First Gilbert Fossoun Houngbo Cabinet,2008-09-15,11,,,,,,,Q114870946,Komlan Mally Cabinet,,,Q114870946,Komlan Mally Cabinet,Q3112547,Second Houngbo Cabinet
,Q3112547,Second Houngbo Cabinet,2010-05-28,11,,,,,,,Q114870834,First Gilbert Fossoun Houngbo Cabinet,,,Q114870834,First Gilbert Fossoun Houngbo Cabinet,Q3112552,1st Ahoomey-Zunu Cabinet
,Q3112552,1st Ahoomey-Zunu Cabinet,2012-07-31,11,,,2013-08-27,11,,,Q3112547,Second Houngbo Cabinet,Q16639678,2nd Ahoomey–Zunu Cabinet,Q3112547,Second Houngbo Cabinet,,
,Q16639678,2nd Ahoomey–Zunu Cabinet,2013-09-17,11,,,2015-05-22,11,,,Q3112552,1st Ahoomey-Zunu Cabinet,Q21512850,1st Klassou Cabinet,,,,
,Q21512850,1st Klassou Cabinet,2015-06-28,11,,,2019-01-04,11,,,Q16639678,2nd Ahoomey–Zunu Cabinet,Q60965706,2nd Klassou Cabinet,,,Q60965706,2nd Klassou Cabinet
,Q60965706,2nd Klassou Cabinet,2019-01-24,11,,,2020-09-25,11,,,Q21512850,1st Klassou Cabinet,Q109037630,Dogbé Cabinet,Q21512850,1st Klassou Cabinet,Q109037630,Dogbé Cabinet
,Q109037630,Dogbé Cabinet,2020-10-01,11,,,,,,,Q60965706,2nd Klassou Cabinet,,,Q60965706,2nd Klassou Cabinet,,
